in out measure uncertainty
H H 2.283 0.0005
H V 0.01213 0.02
H D 1.105 0.0005
H R 1.037 0.0005
V H 0.002682 0.002
V V 2.267 0.0005
V D 1.167 0.0005
V R 1.086 0.0005
D H 1.180 0.0005
D V 1.105 0.0005
D D 2.276 0.0005
D R 1.107 0.0005
R H 1.127 0.0005
R V 1.117 0.0005
R D 1.211 0.0005
R R 2.285 0.0005
