in out measure uncertainty
H H 1.035 0.0005
H V 1.257 0.0005
H D 2.270 0.0005
H R 1.205 0.0005
V H 1.291 0.0005
V V 1.011 0.0005
V D 0.00844 0.002
V R 1.147 0.0005
D H 2.257 0.0005
D V 0.00710 0.002
D D 1.274 0.0005
D R 1.183 0.0005
R H 1.209 0.0005
R V 1.098 0.0005
R D 1.107 0.0005
R R 0.002214 0.002
