in out measure uncertainty
H H 2.280 0.0005
H V 0.01147 0.005
H D 1.237 0.0005
H R 1.131 0.0005
V H 0.01126 0.005
V V 2.229 0.0005
V D 1.035 0.0005
V R 1.155 0.0005
D H 1.239 0.0005
D V 1.029 0.0005
D D 1.137 0.0005
D R 1.142 0.0005
R H 1.113 0.0005
R V 1.158 0.0005
R D 1.128 0.0005
R R 1.142 0.0005
