in out measure uncertainty
H H 1.574 0.0005
H V 0.004777 0.005
H D 0.767 0.0005
H R 0.724 0.0005
V H 0.001293 0.005
V V 1.756 0.0005
V D 0.899 0.0005
V R 0.861 0.0005
D H 0.786 0.0005
D V 0.881 0.0005
D D 1.667 0.0005
D R 0.805 0.0005
R H 0.774 0.0005
R V 0.873 0.0005
R D 0.892 0.0005
R R 1.688 0.0005
